PAGE HITS,USER-AGENT-STRING,DEVICE TYPE,DEVICE MAKER,DEVICE MODEL,DEVICE MODEL VERSION,OS,OS VERSION,OS MAKER,BROWSER,BROWSER VERSION,APPLICATION,APPLICATION VERSION,LANGUAGE CODE,COUNTRY CODE,UNKNOWN PROPERTIES
20700,"Mozilla/5.0 (iPad; U; CPU iPhone OS 5_1_1 like Mac OS X; nl-BE) iPadTimesAnvil/2.7",Tablet,Apple,iPad,iPad,iOS,5.1.1,Apple Inc.,Mozilla,Unknown,iPadTimesAnvil,2.7,nl,BE,1
20639,"Mozilla/5.0 (iPhone; U; CPU iPhone OS 4_2_1 like Mac OS X; en-GB) Times/1.0.2",Smartphone,Apple,iPhone,iPhone,iOS,4.2.1,Apple Inc.,Mozilla,Unknown,Times,1.0.2,en,GB,1
20545,"Mozilla/5.0 (Linux; U; Android 2.3.3; en-gb; GT-I9000 Build/GINGERBREAD) Times/1.3.0",Smartphone,Unknown,GT-I9000,Unknown,ANDROID,2.3.3,Google Inc.,Mozilla,Unknown,Times,1.3.0,en,gb,3
20487,"Mozilla/5.0 (Windows NT 6.1; WOW64; rv:11.0) Gecko/20100101 Firefox/11.0",Computer,Unknown,Computer,Unknown,WINDOWS,7,Microsoft Corporation,Firefox,11.0,Unknown,Unknown,Unknown,Unknown,6
20468,"Mozilla/5.0 (Linux; U; Android 4.0.4; en-gb; GT-N7000 Build/IMM76D) Times/1.2.3",Smartphone,Unknown,GT-N7000,Unknown,ANDROID,4.0.4,Google Inc.,Mozilla,Unknown,Times,1.2.3,en,gb,3
20378,"Mozilla/5.0 (iPhone; U; CPU iPhone OS 6_0 like Mac OS X; sv-SE) Times/1.3.2",Smartphone,Apple,iPhone,iPhone,iOS,6.0,Apple Inc.,Mozilla,Unknown,Times,1.3.2,sv,SE,1
20350,"Mozilla/5.0 (iPad; U; CPU iPhone OS 5_0 like Mac OS X; en-CA) iPadTimesAnvil/2.7",Tablet,Apple,iPad,iPad,iOS,5.0,Apple Inc.,Mozilla,Unknown,iPadTimesAnvil,2.7,en,CA,1
20326,"Mozilla/5.0 (Linux; U; Android 2.3.5; en-us; GT-I9100 Build/GINGERBREAD) Times/1.3.0",Smartphone,Unknown,GT-I9100,Unknown,ANDROID,2.3.5,Google Inc.,Mozilla,Unknown,Times,1.3.0,en,us,3
20211,"Mozilla/5.0 (Linux; U; Android 4.0.4; en-gb; GT-I9300 Build/IMM76D) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 Mobile Safari/534.30",Smartphone,Unknown,GT-I9300,Unknown,ANDROID,4.0.4,Google Inc.,Safari,4.0,Unknown,Unknown,en,gb,4
20198,"Mozilla/5.0 (iPad; U; CPU OS 4_2_1 like Mac OS X; en-us) AppleWebKit/533.17.9 (KHTML, like Gecko) Version/5.0.2 Mobile/8C148 Safari/6533.18.5",Tablet,Apple,iPad,iPad,iOS,4.2.1,Apple Inc.,Safari,5.0.2,Unknown,Unknown,en,us,2
20168,"Mozilla/5.0 (iPhone; U; CPU iPhone OS 4_3_4 like Mac OS X; en-GB) Times/1.3.1",Smartphone,Apple,iPhone,iPhone,iOS,4.3.4,Apple Inc.,Mozilla,Unknown,Times,1.3.1,en,GB,1
20148,"Mozilla/5.0 (iPad; U; CPU iPhone OS 4_3_3 like Mac OS X; es-ES) iPadTimesAnvil/2.7",Tablet,Apple,iPad,iPad,iOS,4.3.3,Apple Inc.,Mozilla,Unknown,iPadTimesAnvil,2.7,es,ES,1
20125,"Mozilla/5.0 (Windows NT 5.1; rv:16.0) Gecko/20100101 Firefox/16.0",Computer,Unknown,Computer,Unknown,WINDOWS,XP,Microsoft Corporation,Firefox,16.0,Unknown,Unknown,Unknown,Unknown,6
20066,"Mozilla/5.0 (iPad; U; CPU iPhone OS 5_1_1 like Mac OS X; ko-KR) iPadTimesAnvil/2.7",Tablet,Apple,iPad,iPad,iOS,5.1.1,Apple Inc.,Mozilla,Unknown,iPadTimesAnvil,2.7,ko,KR,1
20058,"Mozilla/5.0 (Linux; U; Android 2.3.5; en-gb; HTC Wildfire S A510e Build/GRJ90) Times/1.2.3",Smartphone,HTC,Wildfire S A510e,Unknown,ANDROID,2.3.5,Google Inc.,Mozilla,Unknown,Times,1.2.3,en,gb,2
20027,"Mozilla/5.0 (iPhone; U; CPU iPhone OS 6_0 like Mac OS X; en-HK) Times/1.3.2",Smartphone,Apple,iPhone,iPhone,iOS,6.0,Apple Inc.,Mozilla,Unknown,Times,1.3.2,en,HK,1
20010,"Mozilla/5.0 (iPad; U; CPU iPhone OS 5_0_1 like Mac OS X; de-DE) iPadTimesAnvil/2.7",Tablet,Apple,iPad,iPad,iOS,5.0.1,Apple Inc.,Mozilla,Unknown,iPadTimesAnvil,2.7,de,DE,1
