PAGE HITS,USER-AGENT-STRING,DEVICE TYPE,DEVICE MAKER,DEVICE MODEL,DEVICE MODEL VERSION,DEVICE DISPLAY WIDTH,DEVICE DISPLAY HEIGHT,DEVICE DISPLAY RESOLUTION,OS,OS VERSION,OS MAKER,BROWSER,BROWSER VERSION,APPLICATION,APPLICATION VERSION,LANGUAGE CODE,COUNTRY CODE,UNKNOWN PROPERTIES
17081,"Mozilla/5.0 (Windows NT 5.1; rv:11.0) Gecko/20100101 Firefox/11.0",Computer,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,WINDOWS,XP,Microsoft Corporation,Firefox,11.0,Unknown,Unknown,Unknown,Unknown,10
17002,"Mozilla/5.0 (Windows NT 6.0; WOW64) AppleWebKit/537.4 (KHTML, like Gecko) Chrome/22.0.1229.79 Safari/537.4",Computer,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,WINDOWS,VISTA,Microsoft Corporation,Chrome,22.0.1229.79,Unknown,Unknown,Unknown,Unknown,10
16948,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10.6; rv:12.0) Gecko/20100101 Firefox/12.0",Computer,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,MAC_OS,X,Apple Inc.,Firefox,12.0,Unknown,Unknown,Unknown,Unknown,10
16871,"Mozilla/5.0 (iPad; U; CPU iPhone OS 6_0 like Mac OS X; en-IN) iPadTimesAnvil/2.8.1",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,iOS,Unknown,Apple Inc.,Mozilla,Unknown,Unknown,Unknown,Unknown,Unknown,13
16819,"Mozilla/5.0 (iPad; U; CPU iPhone OS 3_2 like Mac OS X; en-US) iPadTimes/2.4",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,iOS,Unknown,Apple Inc.,Mozilla,Unknown,Unknown,Unknown,Unknown,Unknown,13
16728,"Mozilla/5.0 (iPad; U; CPU iPhone OS 5_1_1 like Mac OS X; fr-BE) iPadTimesAnvil/2.7",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,iOS,5_IPHONE,Apple Inc.,Mozilla,Unknown,Unknown,Unknown,Unknown,Unknown,12
16723,"Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 6.1; WOW64; Trident/4.0; SLCC2; .NET CLR 2.0.50727; .NET CLR 3.5.30729; .NET CLR 3.0.30729; Media Center PC 6.0; .NET4.0C)",Computer,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,WINDOWS,7,Microsoft Corporation,Internet Explorer,8.0,Unknown,Unknown,Unknown,Unknown,10
16645,"Mozilla/5.0 (iPhone; U; CPU iPhone OS 6_0 like Mac OS X; nl-NL) Times of London/1.3.2",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,iOS,Unknown,Apple Inc.,Mozilla,Unknown,Unknown,Unknown,Unknown,Unknown,13
16500,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_6_8) AppleWebKit/534.51.22 (KHTML, like Gecko) Version/5.1.1 Safari/534.51.22",Computer,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,MAC_OS,X,Apple Inc.,Safari,5.1.1,Unknown,Unknown,Unknown,Unknown,10
16395,"Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.0; Trident/5.0; yie9)",Computer,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,WINDOWS,VISTA,Microsoft Corporation,Internet Explorer,9.0,Unknown,Unknown,Unknown,Unknown,10
16342,"Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; WOW64; Trident/5.0; MANM)",Computer,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,WINDOWS,7,Microsoft Corporation,Internet Explorer,9.0,Unknown,Unknown,Unknown,Unknown,10
16316,"Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 5.1; .NET CLR 1.1.4322; .NET CLR 2.0.50727; .NET CLR 3.0.4506.2152; .NET CLR 3.5.30729; .NET4.0C; .NET4.0E)",Computer,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,WINDOWS,XP,Microsoft Corporation,Internet Explorer,7.0,Unknown,Unknown,Unknown,Unknown,10
16273,"Mozilla/5.0 (iPad; U; CPU iPhone OS 6_0 like Mac OS X; en-NA) iPadTimesAnvil/2.8.1",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,iOS,Unknown,Apple Inc.,Mozilla,Unknown,Unknown,Unknown,Unknown,Unknown,13
16226,"Mozilla/5.0 (Linux; U; Android 2.3.4; en-gb; MK16i Build/4.0.2.A.0.62) Times/1.3.0",Smartphone,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,ANDROID,2,Google Inc.,Mozilla,Unknown,Unknown,Unknown,Unknown,Unknown,11
