PAGE HITS,USER-AGENT-STRING,DEVICE TYPE,DEVICE MAKER,DEVICE MODEL,DEVICE MODEL VERSION,DEVICE DISPLAY WIDTH,DEVICE DISPLAY HEIGHT,DEVICE DISPLAY RESOLUTION,OS,OS VERSION,OS MAKER,BROWSER,BROWSER VERSION,APPLICATION,APPLICATION VERSION,LANGUAGE CODE,COUNTRY CODE,UNKNOWN PROPERTIES
32945,"Mozilla/5.0 (iPad; U; CPU iPhone OS 6_0 like Mac OS X; en-SG) Sunday Times/223",Tablet,Apple,iPad,iPad,Unknown,Unknown,Unknown,iOS,6.0,Apple Inc.,Unknown,Unknown,Sunday Times,223,en,SG,5
32901,"Mozilla/5.0 (iPad; U; CPU iPhone OS 5_1_1 like Mac OS X; pt-BR) iPadTimesAnvil/2.7",Tablet,Apple,iPad,iPad,Unknown,Unknown,Unknown,iOS,5.1.1,Apple Inc.,Unknown,Unknown,iPadTimesAnvil,2.7,pt,BR,5
32629,"Mozilla/5.0 (iPad; U; CPU iPhone OS 5_0 like Mac OS X; en-US) iPadTimesAnvil/2.7",Tablet,Apple,iPad,iPad,Unknown,Unknown,Unknown,iOS,5.0,Apple Inc.,Unknown,Unknown,iPadTimesAnvil,2.7,en,US,5
32396,"Mozilla/5.0 (iPad; U; CPU iPhone OS 6_0 like Mac OS X; en-HK) Sunday Times/223",Tablet,Apple,iPad,iPad,Unknown,Unknown,Unknown,iOS,6.0,Apple Inc.,Unknown,Unknown,Sunday Times,223,en,HK,5
32297,"Mozilla/5.0 (iPad; U; CPU iPhone OS 5_1_1 like Mac OS X; da-DK) iPadTimesAnvil/2.8.1",Tablet,Apple,iPad,iPad,Unknown,Unknown,Unknown,iOS,5.1.1,Apple Inc.,Unknown,Unknown,iPadTimesAnvil,2.8.1,da,DK,5
32051,"Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0; .NET CLR 1.1.4322; .NET CLR 2.0.50727; .NET CLR 3.0.4506.2152; .NET CLR 3.5.30729; .NET4.0C)",Computer,Unknown,Computer,Unknown,Unknown,Unknown,Unknown,WINDOWS,XP,Microsoft Corporation,Internet Explorer,8.0,Unknown,Unknown,Unknown,Unknown,9
31944,"Mozilla/5.0 (Linux; U; Android 2.3.6; en-gb; GT-I9070 Build/GINGERBREAD) Times/1.3.0",Unknown,Unknown,GT-I9070,Unknown,Unknown,Unknown,Unknown,ANDROID,2.3.6,Google Inc.,Unknown,Unknown,Times,1.3.0,en,gb,8
31934,"Mozilla/5.0 (iPad; U; CPU iPhone OS 5_1_1 like Mac OS X; en-BM) iPadTimesAnvil/2.7",Tablet,Apple,iPad,iPad,Unknown,Unknown,Unknown,iOS,5.1.1,Apple Inc.,Unknown,Unknown,iPadTimesAnvil,2.7,en,BM,5
31840,"Mozilla/5.0 (iPhone; U; CPU iPhone OS 4_3_3 like Mac OS X; en-GB) Times/1.0.2",Smartphone,Apple,iPhone,iPhone,Unknown,Unknown,Unknown,iOS,4.3.3,Apple Inc.,Unknown,Unknown,Times,1.0.2,en,GB,5
31424,"Mozilla/5.0 (iPad; U; CPU iPhone OS 4_3_5 like Mac OS X; en-ZA) iPadTimesAnvil/2.7",Tablet,Apple,iPad,iPad,Unknown,Unknown,Unknown,iOS,4.3.5,Apple Inc.,Unknown,Unknown,iPadTimesAnvil,2.7,en,ZA,5
31234,"Mozilla/5.0 (iPhone; U; CPU iPhone OS 6_0 like Mac OS X; es-ES) Times/1.3.2",Smartphone,Apple,iPhone,iPhone,Unknown,Unknown,Unknown,iOS,6.0,Apple Inc.,Unknown,Unknown,Times,1.3.2,es,ES,5
31163,"Mozilla/5.0 (iPhone; U; CPU iPhone OS 4_3_3 like Mac OS X; en-GB) Times/1.2.1",Smartphone,Apple,iPhone,iPhone,Unknown,Unknown,Unknown,iOS,4.3.3,Apple Inc.,Unknown,Unknown,Times,1.2.1,en,GB,5
31061,"Mozilla/5.0 (iPad; U; CPU iPhone OS 5_0_1 like Mac OS X; en-US) iPadTimesAnvil/2.8.1",Tablet,Apple,iPad,iPad,Unknown,Unknown,Unknown,iOS,5.0.1,Apple Inc.,Unknown,Unknown,iPadTimesAnvil,2.8.1,en,US,5
31030,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10.6; rv:15.0) Gecko/20100101 Firefox/15.0",Computer,Apple,Computer,Unknown,Unknown,Unknown,Unknown,MAC OS X,10.6,Apple Inc.,Firefox,15.0,Unknown,Unknown,Unknown,Unknown,8
31007,"Mozilla/5.0 (iPad; U; CPU iPhone OS 6_0 like Mac OS X; fi-FI) iPadTimesAnvil/2.8.1",Tablet,Apple,iPad,iPad,Unknown,Unknown,Unknown,iOS,6.0,Apple Inc.,Unknown,Unknown,iPadTimesAnvil,2.8.1,fi,FI,5
31002,"Mozilla/5.0 (iPad; U; CPU iPhone OS 6_0 like Mac OS X; en-MT) iPadTimesAnvil/2.8.1",Tablet,Apple,iPad,iPad,Unknown,Unknown,Unknown,iOS,6.0,Apple Inc.,Unknown,Unknown,iPadTimesAnvil,2.8.1,en,MT,5
30912,"Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 6.1; Trident/4.0; SLCC2; .NET CLR 2.0.50727; .NET CLR 3.5.30729; .NET CLR 3.0.30729; Media Center PC 6.0; .NET4.0C; .NET4.0E)",Computer,Unknown,Computer,Unknown,Unknown,Unknown,Unknown,WINDOWS,7,Microsoft Corporation,Internet Explorer,8.0,Unknown,Unknown,Unknown,Unknown,9
30874,"Mozilla/5.0 (iPad; U; CPU OS 4_3_5 like Mac OS X; en-gb) AppleWebKit/533.17.9 (KHTML, like Gecko) Version/5.0.2 Mobile/8L1 Safari/6533.18.5",Tablet,Apple,iPad,iPad,Unknown,Unknown,Unknown,iOS,4.3.5,Apple Inc.,Safari,5.0.2,Unknown,Unknown,en,gb,5
30828,"Mozilla/5.0 (Linux; U; Android 2.3.6; en-gb; GT-I9000 Build/GINGERBREAD) Times/1.3.0",Unknown,Unknown,GT-I9000,Unknown,Unknown,Unknown,Unknown,ANDROID,2.3.6,Google Inc.,Unknown,Unknown,Times,1.3.0,en,gb,8
30714,"Mozilla/5.0 (iPhone; U; CPU iPhone OS 5_1_1 like Mac OS X; fr-FR) Times/1.3.2",Smartphone,Apple,iPhone,iPhone,Unknown,Unknown,Unknown,iOS,5.1.1,Apple Inc.,Unknown,Unknown,Times,1.3.2,fr,FR,5
30601,"Mozilla/5.0 (iPhone; U; CPU iPhone OS 4_3_5 like Mac OS X; en-GB) Times/1.2.1",Smartphone,Apple,iPhone,iPhone,Unknown,Unknown,Unknown,iOS,4.3.5,Apple Inc.,Unknown,Unknown,Times,1.2.1,en,GB,5
