PAGE HITS,USER-AGENT-STRING,DEVICE TYPE,DEVICE MAKER,DEVICE MODEL,DEVICE MODEL VERSION,OS,OS VERSION,BROWSER,BROWSER VERSION,UNKNOWN PROPERTIES
11086,Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 6.0; SLCC1; .NET CLR 2.0.50727; .NET CLR 3.5.30729; .NET CLR 3.0.30729),Computer,Unknown,Unknown,Unknown,Windows,Vista,Internet Explorer,7.0,3
11077,Mozilla/5.0 (Linux; U; Android 2.3.7; en-gb; ST25i Build/6.0.B.1.576) Times/1.3.0,Mobile,Unknown,ST25i,Unknown,Android,2.3.7,Mozilla,Unknown,3
11076,Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 5.1; .NET CLR 1.1.4322; .NET CLR 2.0.50727; .NET CLR 3.0.4506.2152; .NET CLR 3.5.30729; InfoPath.2; .NET4.0C; .NET4.0E),Computer,Unknown,Unknown,Unknown,Windows,XP,Internet Explorer,7.0,3
11066,Mozilla/5.0 (Linux; U; Android 4.1.1; en-gb; GT-N7100 Build/JRO03C) Times/1.3.0,Mobile,Unknown,GT-N7100,Unknown,Android,4.1.1,Mozilla,Unknown,3
10936,Mozilla/5.0 (iPad; U; CPU iPhone OS 4_3_2 like Mac OS X; en-US) iPadTimesAnvil/2.8.1,Mobile,Apple,iPad,iPad,iOS,4.3.2,Mozilla,Unknown,1
10918,Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 6.1; WOW64; Trident/4.0; SLCC2; .NET CLR 2.0.50727; .NET CLR 3.5.30729; .NET CLR 3.0.30729; Media Center PC 6.0; MASM; .NET4.0C),Computer,Unknown,Unknown,Unknown,Windows,7,Internet Explorer,8.0,3
10908,Mozilla/5.0 (iPad; U; CPU iPhone OS 6_0 like Mac OS X; en-MU) iPadTimesAnvil/2.7,Tablet,Apple,iPad,iPad,iOS,6.0,Mozilla,Unknown,1
10885,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_7_3) AppleWebKit/537.1 (KHTML like Gecko) Chrome/21.0.1180.89 Safari/537.1,Computer,Apple,Unknown,Unknown,Mac OS X,10.7.3,Chrome,21.0.1180.89,2
10881,Mozilla/5.0 (iPad; U; CPU iPhone OS 5_1_1 like Mac OS X; pt-PT) iPadTimesAnvil/2.8,Mobile,Apple,iPad,iPad,iOS,5.1.1,Mozilla,Unknown,1
10879,Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/536.11 (KHTML like Gecko) Chrome/20.0.1132.57 Safari/536.11,Computer,Unknown,Unknown,Unknown,Windows,7,Chrome,20.0.1132.57,3
10819,Mozilla/5.0 (Linux; U; Android 2.3.3; en-gb; GT-S5830 Build/GINGERBREAD) AppleWebKit/533.1 (KHTML like Gecko) Version/4.0 Mobile Safari/533.1,Mobile,Unknown,GT-S5830,Unknown,Android,2.3.3,Safari,4.0,2
10819,Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0; InfoPath.2),Computer,Unknown,Unknown,Unknown,Windows,XP,Internet Explorer,8.0,3
10818,Mozilla/5.0 (iPad; U; CPU iPhone OS 6_0 like Mac OS X; he-IL) iPadTimesAnvil/2.7,Tablet,Apple,iPad,iPad,iOS,6.0,Mozilla,Unknown,1
10776,Mozilla/5.0 (iPad; U; CPU iPhone OS 5_1_1 like Mac OS X; en-BE) iPadTimesAnvil/2.8,Mobile,Apple,iPad,iPad,iOS,5.1.1,Mozilla,Unknown,1
10767,Mozilla/5.0 (Linux; U; Android 2.3.6; en-gb; GT-S5839i Build/GINGERBREAD) Times/1.3.0,Mobile,Unknown,GT-S5839i,Unknown,Android,2.3.6,Mozilla,Unknown,3
10753,Mozilla/5.0 (Linux; U; Android 2.3.3; en-gb; BlackBerry Runtime for Android Apps Build/2.0.1.30) Times/1.2.3,Mobile,Unknown,BlackBerry Runtime for Android Apps,Unknown,Android,2.3.3,Mozilla,Unknown,3
